,Year,AQI
0,1981,0.19469026548672566
1,1982,7.764309764309765
2,1983,13.492581602373887
3,1984,14.084699453551913
4,1985,16.915966386554622
5,1986,18.074626865671643
6,1987,10.411080074487895
7,1988,29.569216757741348
8,1989,30.754794520547946
9,1990,35.85342465753425
10,1991,26.972602739726028
11,1992,10.62431693989071
12,1993,12.321329639889196
13,1994,9.6
14,1995,8.867123287671232
15,1996,10.083333333333334
16,1997,12.657534246575343
17,1998,8.998630136986302
18,1999,12.60958904109589
19,2000,12.346994535519126
20,2001,12.835616438356164
21,2002,13.446575342465753
22,2003,12.95068493150685
23,2004,13.887978142076502
24,2005,16.731506849315068
25,2006,8.904109589041095
26,2007,9.449315068493151
27,2008,10.398907103825136
28,2009,11.115068493150686
29,2010,9.332876712328767
30,2011,10.479452054794521
31,2012,14.745901639344263
32,2013,37.240900195694714
33,2014,27.594833659491194
34,2015,25.52047568869487
35,2016,19.06440281030445
36,2017,23.517764731463362
37,2018,25.847684279191128
38,2019,22.16470971950424
39,2020,1.6871584699453552
40,2021,2.317808219178082
41,2022,1.5400552486187846
42,2023,1.3314917127071824
