,Date,AQI,Sample_Duration,Pollutant_Type
0,1981-08-20,0,1 HOUR,42401
1,1981-08-20,0,1 HOUR,42401
2,1981-08-21,0,1 HOUR,42401
3,1981-08-21,0,1 HOUR,42401
4,1981-08-22,0,1 HOUR,42401
5,1981-08-22,0,1 HOUR,42401
6,1981-08-23,0,1 HOUR,42401
7,1981-08-23,0,1 HOUR,42401
8,1981-08-24,0,1 HOUR,42401
9,1981-08-24,0,1 HOUR,42401
10,1981-08-25,0,1 HOUR,42401
11,1981-08-25,0,1 HOUR,42401
12,1981-08-26,0,1 HOUR,42401
13,1981-08-26,0,1 HOUR,42401
14,1981-08-27,0,1 HOUR,42401
15,1981-08-27,0,1 HOUR,42401
16,1981-08-28,0,1 HOUR,42401
17,1981-08-28,0,1 HOUR,42401
18,1981-08-29,0,1 HOUR,42401
19,1981-08-29,0,1 HOUR,42401
20,1981-08-30,0,1 HOUR,42401
21,1981-08-30,0,1 HOUR,42401
22,1981-08-31,0,1 HOUR,42401
23,1981-08-31,0,1 HOUR,42401
24,1981-09-01,0,1 HOUR,42401
25,1981-09-01,0,1 HOUR,42401
26,1981-09-02,0,1 HOUR,42401
27,1981-09-02,0,1 HOUR,42401
28,1981-09-03,0,1 HOUR,42401
29,1981-09-03,0,1 HOUR,42401
30,1981-09-04,0,1 HOUR,42401
31,1981-09-04,0,1 HOUR,42401
32,1981-09-05,0,1 HOUR,42401
33,1981-09-05,0,1 HOUR,42401
34,1981-09-06,0,1 HOUR,42401
35,1981-09-06,0,1 HOUR,42401
36,1981-09-07,0,1 HOUR,42401
37,1981-09-07,0,1 HOUR,42401
38,1981-09-08,0,1 HOUR,42401
39,1981-09-08,0,1 HOUR,42401
40,1981-09-09,0,1 HOUR,42401
41,1981-09-09,0,1 HOUR,42401
42,1981-09-10,0,1 HOUR,42401
43,1981-09-10,0,1 HOUR,42401
44,1981-09-22,0,1 HOUR,42401
45,1981-09-22,0,1 HOUR,42401
46,1981-09-23,0,1 HOUR,42401
47,1981-09-23,0,1 HOUR,42401
48,1981-09-24,0,1 HOUR,42401
49,1981-09-24,0,1 HOUR,42401
50,1981-09-25,0,1 HOUR,42401
51,1981-09-25,0,1 HOUR,42401
52,1981-09-26,0,1 HOUR,42401
53,1981-09-26,0,1 HOUR,42401
54,1981-09-27,0,1 HOUR,42401
55,1981-09-27,0,1 HOUR,42401
56,1981-09-28,0,1 HOUR,42401
57,1981-09-28,0,1 HOUR,42401
58,1981-09-29,0,1 HOUR,42401
59,1981-09-29,0,1 HOUR,42401
60,1981-09-30,0,1 HOUR,42401
61,1981-09-30,0,1 HOUR,42401
62,1981-10-01,0,1 HOUR,42401
63,1981-10-01,0,1 HOUR,42401
64,1981-10-02,0,1 HOUR,42401
65,1981-10-02,0,1 HOUR,42401
66,1981-10-03,0,1 HOUR,42401
67,1981-10-03,0,1 HOUR,42401
68,1981-10-04,0,1 HOUR,42401
69,1981-10-04,0,1 HOUR,42401
70,1981-10-05,0,1 HOUR,42401
71,1981-10-05,0,1 HOUR,42401
72,1981-10-06,0,1 HOUR,42401
73,1981-10-06,0,1 HOUR,42401
74,1981-10-07,0,1 HOUR,42401
75,1981-10-07,0,1 HOUR,42401
76,1981-10-08,0,1 HOUR,42401
77,1981-10-08,0,1 HOUR,42401
78,1981-10-09,0,1 HOUR,42401
79,1981-10-09,0,1 HOUR,42401
80,1981-10-10,0,1 HOUR,42401
81,1981-10-10,0,1 HOUR,42401
82,1981-10-11,0,1 HOUR,42401
83,1981-10-11,0,1 HOUR,42401
84,1981-10-12,0,1 HOUR,42401
85,1981-10-12,0,1 HOUR,42401
86,1981-10-13,0,1 HOUR,42401
87,1981-10-13,0,1 HOUR,42401
88,1981-10-14,0,1 HOUR,42401
89,1981-10-14,0,1 HOUR,42401
90,1981-10-15,0,1 HOUR,42401
91,1981-10-15,0,1 HOUR,42401
92,1981-10-16,0,1 HOUR,42401
93,1981-10-16,0,1 HOUR,42401
94,1981-10-17,0,1 HOUR,42401
95,1981-10-17,0,1 HOUR,42401
96,1981-10-18,0,1 HOUR,42401
97,1981-10-18,0,1 HOUR,42401
98,1981-10-19,0,1 HOUR,42401
99,1981-10-19,0,1 HOUR,42401
100,1981-10-20,0,1 HOUR,42401
101,1981-10-20,0,1 HOUR,42401
102,1981-10-21,0,1 HOUR,42401
103,1981-10-21,0,1 HOUR,42401
104,1981-10-22,0,1 HOUR,42401
105,1981-10-22,0,1 HOUR,42401
106,1981-10-23,0,1 HOUR,42401
107,1981-10-23,0,1 HOUR,42401
108,1981-10-24,0,1 HOUR,42401
109,1981-10-24,0,1 HOUR,42401
110,1981-10-25,0,1 HOUR,42401
111,1981-10-25,0,1 HOUR,42401
112,1981-10-26,0,1 HOUR,42401
113,1981-10-26,0,1 HOUR,42401
114,1981-10-27,0,1 HOUR,42401
115,1981-10-27,0,1 HOUR,42401
116,1981-10-28,0,1 HOUR,42401
117,1981-10-28,0,1 HOUR,42401
118,1981-10-29,0,1 HOUR,42401
119,1981-10-29,0,1 HOUR,42401
120,1981-10-30,0,1 HOUR,42401
121,1981-10-30,0,1 HOUR,42401
122,1981-10-31,0,1 HOUR,42401
123,1981-10-31,0,1 HOUR,42401
124,1981-11-01,0,1 HOUR,42401
125,1981-11-01,0,1 HOUR,42401
126,1981-11-02,0,1 HOUR,42401
127,1981-11-02,0,1 HOUR,42401
128,1981-11-03,0,1 HOUR,42401
129,1981-11-03,0,1 HOUR,42401
130,1981-11-04,0,1 HOUR,42401
131,1981-11-04,0,1 HOUR,42401
132,1981-11-05,0,1 HOUR,42401
133,1981-11-05,0,1 HOUR,42401
134,1981-11-06,0,1 HOUR,42401
135,1981-11-06,0,1 HOUR,42401
136,1981-11-07,0,1 HOUR,42401
137,1981-11-07,0,1 HOUR,42401
138,1981-11-08,0,1 HOUR,42401
139,1981-11-08,0,1 HOUR,42401
140,1981-11-09,0,1 HOUR,42401
141,1981-11-09,0,1 HOUR,42401
142,1981-11-10,0,1 HOUR,42401
143,1981-11-10,0,1 HOUR,42401
144,1981-11-11,0,1 HOUR,42401
145,1981-11-11,0,1 HOUR,42401
146,1981-11-12,0,1 HOUR,42401
147,1981-11-12,0,1 HOUR,42401
148,1981-11-13,13,1 HOUR,42401
149,1981-11-13,13,1 HOUR,42401
150,1981-11-14,0,1 HOUR,42401
151,1981-11-14,0,1 HOUR,42401
152,1981-11-15,0,1 HOUR,42401
153,1981-11-15,0,1 HOUR,42401
154,1981-11-16,0,1 HOUR,42401
155,1981-11-16,0,1 HOUR,42401
156,1981-11-17,0,1 HOUR,42401
157,1981-11-17,0,1 HOUR,42401
158,1981-11-18,0,1 HOUR,42401
159,1981-11-18,0,1 HOUR,42401
160,1981-11-19,0,1 HOUR,42401
161,1981-11-19,0,1 HOUR,42401
162,1981-11-20,0,1 HOUR,42401
163,1981-11-20,0,1 HOUR,42401
164,1981-11-21,0,1 HOUR,42401
165,1981-11-21,0,1 HOUR,42401
166,1981-11-22,0,1 HOUR,42401
167,1981-11-22,0,1 HOUR,42401
168,1981-11-23,0,1 HOUR,42401
169,1981-11-23,0,1 HOUR,42401
170,1981-11-24,0,1 HOUR,42401
171,1981-11-24,0,1 HOUR,42401
172,1981-11-25,0,1 HOUR,42401
173,1981-11-25,0,1 HOUR,42401
174,1981-11-26,0,1 HOUR,42401
175,1981-11-26,0,1 HOUR,42401
176,1981-11-27,0,1 HOUR,42401
177,1981-11-27,0,1 HOUR,42401
178,1981-11-28,0,1 HOUR,42401
179,1981-11-28,0,1 HOUR,42401
180,1981-11-29,0,1 HOUR,42401
181,1981-11-29,0,1 HOUR,42401
182,1981-11-30,0,1 HOUR,42401
183,1981-11-30,0,1 HOUR,42401
184,1981-12-01,0,1 HOUR,42401
185,1981-12-01,0,1 HOUR,42401
186,1981-12-02,0,1 HOUR,42401
187,1981-12-02,0,1 HOUR,42401
188,1981-12-03,0,1 HOUR,42401
189,1981-12-03,0,1 HOUR,42401
190,1981-12-04,0,1 HOUR,42401
191,1981-12-04,0,1 HOUR,42401
192,1981-12-05,9,1 HOUR,42401
193,1981-12-05,9,1 HOUR,42401
194,1981-12-06,0,1 HOUR,42401
195,1981-12-06,0,1 HOUR,42401
196,1981-12-07,0,1 HOUR,42401
197,1981-12-07,0,1 HOUR,42401
198,1981-12-08,0,1 HOUR,42401
199,1981-12-08,0,1 HOUR,42401
200,1981-12-09,0,1 HOUR,42401
201,1981-12-09,0,1 HOUR,42401
202,1981-12-10,0,1 HOUR,42401
203,1981-12-10,0,1 HOUR,42401
204,1981-12-11,0,1 HOUR,42401
205,1981-12-11,0,1 HOUR,42401
206,1981-12-12,0,1 HOUR,42401
207,1981-12-12,0,1 HOUR,42401
208,1981-12-13,0,1 HOUR,42401
209,1981-12-13,0,1 HOUR,42401
210,1981-12-14,0,1 HOUR,42401
211,1981-12-14,0,1 HOUR,42401
212,1981-12-23,0,1 HOUR,42401
213,1981-12-23,0,1 HOUR,42401
214,1981-12-24,0,1 HOUR,42401
215,1981-12-24,0,1 HOUR,42401
216,1981-12-25,0,1 HOUR,42401
217,1981-12-25,0,1 HOUR,42401
218,1981-12-26,0,1 HOUR,42401
219,1981-12-26,0,1 HOUR,42401
220,1981-12-27,0,1 HOUR,42401
221,1981-12-27,0,1 HOUR,42401
222,1981-12-28,0,1 HOUR,42401
223,1981-12-28,0,1 HOUR,42401
224,1981-12-29,0,1 HOUR,42401
225,1981-12-29,0,1 HOUR,42401
226,1982-01-25,14,1 HOUR,42401
227,1982-01-25,14,1 HOUR,42401
228,1982-01-26,21,1 HOUR,42401
229,1982-01-26,21,1 HOUR,42401
230,1982-01-27,0,1 HOUR,42401
231,1982-01-27,0,1 HOUR,42401
232,1982-01-28,21,1 HOUR,42401
233,1982-01-28,21,1 HOUR,42401
234,1982-01-29,0,1 HOUR,42401
235,1982-01-29,0,1 HOUR,42401
236,1982-01-30,0,1 HOUR,42401
237,1982-01-30,0,1 HOUR,42401
238,1982-02-10,0,1 HOUR,42401
239,1982-02-10,0,1 HOUR,42401
240,1982-02-18,0,1 HOUR,42401
241,1982-02-18,0,1 HOUR,42401
242,1982-02-19,0,1 HOUR,42401
243,1982-02-19,0,1 HOUR,42401
244,1982-02-20,0,1 HOUR,42401
245,1982-02-20,0,1 HOUR,42401
246,1982-02-21,0,1 HOUR,42401
247,1982-02-21,0,1 HOUR,42401
248,1982-02-22,0,1 HOUR,42401
249,1982-02-22,0,1 HOUR,42401
250,1982-02-23,0,1 HOUR,42401
251,1982-02-23,0,1 HOUR,42401
252,1982-02-24,0,1 HOUR,42401
253,1982-02-24,0,1 HOUR,42401
254,1982-02-25,0,1 HOUR,42401
255,1982-02-25,0,1 HOUR,42401
256,1982-02-26,0,1 HOUR,42401
257,1982-02-26,0,1 HOUR,42401
258,1982-02-27,0,1 HOUR,42401
259,1982-02-27,0,1 HOUR,42401
260,1982-02-28,0,1 HOUR,42401
261,1982-02-28,0,1 HOUR,42401
262,1982-03-01,0,1 HOUR,42401
263,1982-03-01,0,1 HOUR,42401
264,1982-03-02,0,1 HOUR,42401
265,1982-03-02,0,1 HOUR,42401
266,1982-03-03,0,1 HOUR,42401
267,1982-03-03,0,1 HOUR,42401
268,1982-03-04,0,1 HOUR,42401
269,1982-03-04,0,1 HOUR,42401
270,1982-03-05,0,1 HOUR,42401
271,1982-03-05,0,1 HOUR,42401
272,1982-03-06,0,1 HOUR,42401
273,1982-03-06,0,1 HOUR,42401
274,1982-03-07,0,1 HOUR,42401
275,1982-03-07,0,1 HOUR,42401
276,1982-03-08,0,1 HOUR,42401
277,1982-03-08,0,1 HOUR,42401
278,1982-03-09,0,1 HOUR,42401
279,1982-03-09,0,1 HOUR,42401
280,1982-03-10,0,1 HOUR,42401
281,1982-03-10,0,1 HOUR,42401
282,1982-03-11,0,1 HOUR,42401
283,1982-03-11,0,1 HOUR,42401
284,1982-03-12,0,1 HOUR,42401
285,1982-03-12,0,1 HOUR,42401
286,1982-03-13,0,1 HOUR,42401
287,1982-03-13,0,1 HOUR,42401
288,1982-03-14,0,1 HOUR,42401
289,1982-03-14,0,1 HOUR,42401
290,1982-03-15,0,1 HOUR,42401
291,1982-03-15,0,1 HOUR,42401
292,1982-03-16,0,1 HOUR,42401
293,1982-03-16,0,1 HOUR,42401
294,1982-03-17,0,1 HOUR,42401
295,1982-03-17,0,1 HOUR,42401
296,1982-03-18,0,1 HOUR,42401
297,1982-03-18,0,1 HOUR,42401
298,1982-03-19,0,1 HOUR,42401
299,1982-03-19,0,1 HOUR,42401
300,1982-03-20,14,1 HOUR,42401
301,1982-03-20,14,1 HOUR,42401
302,1982-03-21,0,1 HOUR,42401
303,1982-03-21,0,1 HOUR,42401
304,1982-03-22,0,1 HOUR,42401
305,1982-03-22,0,1 HOUR,42401
306,1982-03-23,0,1 HOUR,42401
307,1982-03-23,0,1 HOUR,42401
308,1982-03-24,0,1 HOUR,42401
309,1982-03-24,0,1 HOUR,42401
310,1982-03-25,0,1 HOUR,42401
311,1982-03-25,0,1 HOUR,42401
312,1982-03-26,0,1 HOUR,42401
313,1982-03-26,0,1 HOUR,42401
314,1982-03-27,0,1 HOUR,42401
315,1982-03-27,0,1 HOUR,42401
316,1982-03-28,0,1 HOUR,42401
317,1982-03-28,0,1 HOUR,42401
318,1982-03-29,0,1 HOUR,42401
319,1982-03-29,0,1 HOUR,42401
320,1982-03-30,0,1 HOUR,42401
321,1982-03-30,0,1 HOUR,42401
322,1982-03-31,0,1 HOUR,42401
323,1982-03-31,0,1 HOUR,42401
324,1982-04-01,0,1 HOUR,42401
325,1982-04-01,0,1 HOUR,42401
326,1982-04-02,0,1 HOUR,42401
327,1982-04-02,0,1 HOUR,42401
328,1982-04-03,0,1 HOUR,42401
329,1982-04-03,0,1 HOUR,42401
330,1982-04-04,0,1 HOUR,42401
331,1982-04-04,0,1 HOUR,42401
332,1982-04-05,0,1 HOUR,42401
333,1982-04-05,0,1 HOUR,42401
334,1982-04-06,0,1 HOUR,42401
335,1982-04-06,0,1 HOUR,42401
336,1982-04-07,0,1 HOUR,42401
337,1982-04-07,0,1 HOUR,42401
338,1982-04-08,0,1 HOUR,42401
339,1982-04-08,0,1 HOUR,42401
340,1982-04-09,0,1 HOUR,42401
341,1982-04-09,0,1 HOUR,42401
342,1982-04-10,0,1 HOUR,42401
343,1982-04-10,0,1 HOUR,42401
344,1982-04-11,0,1 HOUR,42401
345,1982-04-11,0,1 HOUR,42401
346,1982-04-12,0,1 HOUR,42401
347,1982-04-12,0,1 HOUR,42401
348,1982-04-13,0,1 HOUR,42401
349,1982-04-13,0,1 HOUR,42401
350,1982-04-14,11,1 HOUR,42401
351,1982-04-14,11,1 HOUR,42401
352,1982-04-15,0,1 HOUR,42401
353,1982-04-15,0,1 HOUR,42401
354,1982-04-16,0,1 HOUR,42401
355,1982-04-16,0,1 HOUR,42401
356,1982-04-17,11,1 HOUR,42401
357,1982-04-17,11,1 HOUR,42401
358,1982-04-18,0,1 HOUR,42401
359,1982-04-18,0,1 HOUR,42401
360,1982-04-19,0,1 HOUR,42401
361,1982-04-19,0,1 HOUR,42401
