,Date,AQI,Sample_Duration,Pollutant_Type
0,1985-06-14,29,24 HOUR,81102
1,1985-06-16,54,24 HOUR,81102
2,1985-06-18,29,24 HOUR,81102
3,1985-06-20,26,24 HOUR,81102
4,1985-06-22,39,24 HOUR,81102
5,1985-06-24,31,24 HOUR,81102
6,1985-06-26,28,24 HOUR,81102
7,1985-06-28,7,24 HOUR,81102
8,1985-06-30,29,24 HOUR,81102
9,1985-07-06,33,24 HOUR,81102
10,1985-07-08,55,24 HOUR,81102
11,1985-07-10,30,24 HOUR,81102
12,1985-07-12,53,24 HOUR,81102
13,1985-07-14,19,24 HOUR,81102
14,1985-07-16,35,24 HOUR,81102
15,1985-07-18,17,24 HOUR,81102
16,1985-07-24,34,24 HOUR,81102
17,1985-07-26,26,24 HOUR,81102
18,1985-07-28,31,24 HOUR,81102
19,1985-07-30,21,24 HOUR,81102
20,1985-08-01,35,24 HOUR,81102
21,1985-08-03,16,24 HOUR,81102
22,1985-08-05,37,24 HOUR,81102
23,1985-08-07,30,24 HOUR,81102
24,1985-08-09,23,24 HOUR,81102
25,1985-08-11,19,24 HOUR,81102
26,1985-08-13,29,24 HOUR,81102
27,1985-08-15,14,24 HOUR,81102
28,1985-08-17,19,24 HOUR,81102
29,1985-08-19,19,24 HOUR,81102
30,1985-08-21,35,24 HOUR,81102
31,1985-08-23,16,24 HOUR,81102
32,1985-08-25,21,24 HOUR,81102
33,1985-08-27,36,24 HOUR,81102
34,1985-08-29,33,24 HOUR,81102
35,1985-08-31,34,24 HOUR,81102
36,1985-09-02,32,24 HOUR,81102
37,1985-09-04,25,24 HOUR,81102
38,1985-09-06,18,24 HOUR,81102
39,1985-09-08,11,24 HOUR,81102
40,1985-09-10,25,24 HOUR,81102
41,1985-09-12,17,24 HOUR,81102
42,1985-09-14,14,24 HOUR,81102
43,1985-09-16,21,24 HOUR,81102
44,1985-09-18,15,24 HOUR,81102
45,1985-09-20,12,24 HOUR,81102
46,1985-09-22,9,24 HOUR,81102
47,1985-09-24,10,24 HOUR,81102
48,1985-09-26,23,24 HOUR,81102
49,1985-09-28,6,24 HOUR,81102
50,1985-09-30,20,24 HOUR,81102
51,1985-10-02,32,24 HOUR,81102
52,1985-10-04,18,24 HOUR,81102
53,1985-10-06,13,24 HOUR,81102
54,1985-10-08,19,24 HOUR,81102
55,1985-10-10,23,24 HOUR,81102
56,1985-10-12,32,24 HOUR,81102
57,1985-10-14,19,24 HOUR,81102
58,1985-10-16,24,24 HOUR,81102
59,1985-10-18,27,24 HOUR,81102
60,1985-10-20,21,24 HOUR,81102
61,1985-10-22,20,24 HOUR,81102
62,1985-10-24,19,24 HOUR,81102
63,1985-10-26,16,24 HOUR,81102
64,1985-10-28,21,24 HOUR,81102
65,1985-10-30,36,24 HOUR,81102
66,1985-11-01,24,24 HOUR,81102
67,1985-11-03,10,24 HOUR,81102
68,1985-11-05,20,24 HOUR,81102
69,1985-11-07,16,24 HOUR,81102
70,1985-11-09,20,24 HOUR,81102
71,1985-11-11,20,24 HOUR,81102
72,1985-11-13,25,24 HOUR,81102
73,1985-11-15,32,24 HOUR,81102
74,1985-11-17,19,24 HOUR,81102
75,1985-11-19,29,24 HOUR,81102
76,1985-11-21,27,24 HOUR,81102
77,1985-11-23,16,24 HOUR,81102
78,1985-11-25,45,24 HOUR,81102
79,1985-11-27,19,24 HOUR,81102
80,1985-11-29,25,24 HOUR,81102
81,1985-12-03,21,24 HOUR,81102
82,1985-12-05,22,24 HOUR,81102
83,1985-12-07,18,24 HOUR,81102
84,1985-12-09,14,24 HOUR,81102
85,1985-12-11,33,24 HOUR,81102
86,1985-12-13,11,24 HOUR,81102
87,1985-12-15,18,24 HOUR,81102
88,1985-12-17,18,24 HOUR,81102
89,1985-12-19,24,24 HOUR,81102
90,1985-12-21,9,24 HOUR,81102
91,1985-12-23,7,24 HOUR,81102
92,1985-12-25,12,24 HOUR,81102
93,1985-12-27,19,24 HOUR,81102
94,1985-12-31,12,24 HOUR,81102
95,1986-01-02,9,24 HOUR,81102
96,1986-01-04,12,24 HOUR,81102
97,1986-01-06,6,24 HOUR,81102
98,1986-01-08,7,24 HOUR,81102
99,1986-01-10,9,24 HOUR,81102
100,1986-01-12,5,24 HOUR,81102
101,1986-01-14,17,24 HOUR,81102
102,1986-01-16,10,24 HOUR,81102
103,1986-01-18,2,24 HOUR,81102
104,1986-01-20,5,24 HOUR,81102
105,1986-01-22,10,24 HOUR,81102
106,1986-01-24,8,24 HOUR,81102
107,1986-01-26,9,24 HOUR,81102
108,1986-01-28,15,24 HOUR,81102
109,1986-01-30,19,24 HOUR,81102
110,1986-02-01,6,24 HOUR,81102
111,1986-02-03,10,24 HOUR,81102
112,1986-02-05,47,24 HOUR,81102
113,1986-02-07,6,24 HOUR,81102
114,1986-02-09,9,24 HOUR,81102
115,1986-02-11,6,24 HOUR,81102
116,1986-02-13,12,24 HOUR,81102
117,1986-02-15,12,24 HOUR,81102
118,1986-02-17,10,24 HOUR,81102
119,1986-02-19,9,24 HOUR,81102
120,1986-02-21,22,24 HOUR,81102
121,1986-02-23,6,24 HOUR,81102
122,1986-02-25,4,24 HOUR,81102
123,1986-02-27,5,24 HOUR,81102
124,1986-03-01,9,24 HOUR,81102
125,1986-03-03,16,24 HOUR,81102
126,1986-03-05,16,24 HOUR,81102
127,1986-03-07,11,24 HOUR,81102
128,1986-03-09,13,24 HOUR,81102
129,1986-03-11,7,24 HOUR,81102
130,1986-03-13,28,24 HOUR,81102
131,1986-03-15,18,24 HOUR,81102
132,1986-03-17,31,24 HOUR,81102
133,1986-03-19,11,24 HOUR,81102
134,1986-03-21,29,24 HOUR,81102
135,1986-03-24,10,24 HOUR,81102
136,1986-03-25,33,24 HOUR,81102
137,1986-03-27,28,24 HOUR,81102
138,1986-03-29,91,24 HOUR,81102
139,1986-04-02,15,24 HOUR,81102
140,1986-04-04,10,24 HOUR,81102
141,1986-04-06,9,24 HOUR,81102
142,1986-04-08,17,24 HOUR,81102
143,1986-04-12,10,24 HOUR,81102
144,1986-04-14,23,24 HOUR,81102
145,1986-04-18,12,24 HOUR,81102
146,1986-04-20,5,24 HOUR,81102
147,1986-04-24,28,24 HOUR,81102
148,1986-04-26,6,24 HOUR,81102
149,1986-05-02,16,24 HOUR,81102
150,1986-05-04,44,24 HOUR,81102
151,1986-05-06,6,24 HOUR,81102
152,1986-05-08,7,24 HOUR,81102
153,1986-05-10,32,24 HOUR,81102
154,1986-05-12,20,24 HOUR,81102
155,1986-05-14,28,24 HOUR,81102
156,1986-05-16,10,24 HOUR,81102
157,1986-05-18,15,24 HOUR,81102
158,1986-05-20,21,24 HOUR,81102
159,1986-05-22,20,24 HOUR,81102
160,1986-05-24,14,24 HOUR,81102
161,1986-05-26,10,24 HOUR,81102
162,1986-05-28,21,24 HOUR,81102
163,1986-05-30,21,24 HOUR,81102
164,1986-06-01,28,24 HOUR,81102
165,1986-06-03,30,24 HOUR,81102
166,1986-06-05,23,24 HOUR,81102
167,1986-06-07,19,24 HOUR,81102
168,1986-06-09,13,24 HOUR,81102
169,1986-06-11,39,24 HOUR,81102
170,1986-09-05,13,24 HOUR,81102
171,1986-09-07,13,24 HOUR,81102
172,1986-09-09,19,24 HOUR,81102
173,1986-09-13,34,24 HOUR,81102
174,1986-09-15,17,24 HOUR,81102
175,1986-09-17,11,24 HOUR,81102
176,1986-09-19,9,24 HOUR,81102
177,1986-09-21,10,24 HOUR,81102
178,1986-09-23,27,24 HOUR,81102
179,1986-09-25,15,24 HOUR,81102
180,1986-09-27,16,24 HOUR,81102
181,1986-09-29,16,24 HOUR,81102
182,1986-10-01,12,24 HOUR,81102
183,1986-10-03,9,24 HOUR,81102
184,1986-10-05,10,24 HOUR,81102
185,1986-10-07,15,24 HOUR,81102
186,1986-10-09,12,24 HOUR,81102
187,1986-10-11,7,24 HOUR,81102
188,1986-10-13,19,24 HOUR,81102
189,1986-10-15,23,24 HOUR,81102
190,1986-10-17,29,24 HOUR,81102
191,1986-10-19,41,24 HOUR,81102
192,1986-10-23,36,24 HOUR,81102
193,1986-11-14,14,24 HOUR,81102
194,1986-11-16,11,24 HOUR,81102
195,1986-11-18,15,24 HOUR,81102
196,1986-11-20,14,24 HOUR,81102
197,1986-11-22,11,24 HOUR,81102
198,1986-11-24,9,24 HOUR,81102
199,1986-11-26,17,24 HOUR,81102
200,1986-11-28,11,24 HOUR,81102
